ID,Etapa,Avance_%,Origen,Actividades_afectadas,Actividad_critica,Magnitud,Dias_adicionales
C131,Construcción,32.6,Cliente,3,No,Baja,4
C132,Construcción,40.8,Normativo/Entidad,13,Sí,Alta,24
C133,Diseño,58.9,Cliente,10,No,Baja,5
C134,Construcción,56.6,Normativo/Entidad,1,No,Baja,9
C135,Construcción,92.3,Cliente,12,No,Baja,9
C136,Construcción,60.2,Cliente,6,No,Media,6
C137,Construcción,55.0,Cliente,1,Sí,Media,15
C138,Diseño,71.1,Construcción/Obra,4,No,Baja,5
C139,Construcción,60.9,Cliente,1,No,Baja,7
C140,Diseño,45.2,Cliente,7,Sí,Media,10
C141,Cierre,55.4,Cliente,2,Sí,Baja,12
C142,Construcción,19.1,Cliente,2,Sí,Media,13
C143,Construcción,57.6,Cliente,1,No,Media,8
C144,Cierre,62.4,Cliente,10,Sí,Media,21
C145,Construcción,68.9,Normativo/Entidad,5,No,Media,4
C146,Cierre,53.5,Ingeniería/Diseño,5,No,Media,11
C147,Diseño,2.3,Ingeniería/Diseño,11,Sí,Baja,4
C148,Diseño,98.7,Ingeniería/Diseño,6,No,Baja,9
C149,Construcción,6.6,Construcción/Obra,11,No,Media,11
C150,Cierre,73.9,Ingeniería/Diseño,6,No,Baja,12
C151,Diseño,9.2,Cliente,19,No,Baja,4
C152,Construcción,63.0,Ingeniería/Diseño,17,No,Media,15
C153,Cierre,71.8,Ingeniería/Diseño,1,No,Media,16
C154,Construcción,97.1,Cliente,5,No,Baja,9
C155,Cierre,70.6,Cliente,5,Sí,Media,18
C156,Cierre,17.3,Normativo/Entidad,1,No,Baja,6
C157,Cierre,66.3,Ingeniería/Diseño,1,No,Media,14
C158,Cierre,2.2,Ingeniería/Diseño,10,No,Media,10
C159,Construcción,76.7,Construcción/Obra,7,No,Media,11
C160,Construcción,91.4,Cliente,6,No,Baja,21
C161,Construcción,96.3,Cliente,7,No,Media,17
C162,Construcción,65.1,Construcción/Obra,18,No,Alta,24
C163,Diseño,60.4,Normativo/Entidad,2,No,Baja,6
C164,Construcción,53.8,Construcción/Obra,4,Sí,Media,15
C165,Diseño,64.4,Ingeniería/Diseño,3,Sí,Baja,16
C166,Construcción,10.3,Cliente,3,No,Alta,9
C167,Construcción,54.8,Ingeniería/Diseño,13,Sí,Media,18
C168,Diseño,19.5,Normativo/Entidad,7,Sí,Baja,6
C169,Construcción,17.8,Ingeniería/Diseño,4,No,Alta,18
C170,Diseño,12.7,Construcción/Obra,11,No,Media,4
C171,Construcción,98.2,Cliente,14,Sí,Media,21
C172,Construcción,18.1,Cliente,20,No,Media,17
C173,Diseño,84.9,Ingeniería/Diseño,19,No,Baja,0
C174,Diseño,3.2,Cliente,12,Sí,Baja,10
C175,Construcción,85.6,Cliente,5,No,Media,16
C176,Construcción,54.7,Cliente,15,Sí,Baja,14
C177,Construcción,56.3,Ingeniería/Diseño,15,No,Media,7
C178,Construcción,70.1,Normativo/Entidad,1,No,Baja,10
C179,Construcción,1.1,Cliente,7,Sí,Media,11
C180,Construcción,55.6,Construcción/Obra,6,No,Media,17
C181,Cierre,99.1,Ingeniería/Diseño,3,Sí,Alta,30
C182,Construcción,95.3,Ingeniería/Diseño,5,No,Baja,6
C183,Construcción,43.5,Cliente,10,No,Media,16
C184,Cierre,16.4,Cliente,17,No,Baja,7
C185,Construcción,81.2,Ingeniería/Diseño,4,No,Media,7
C186,Diseño,70.2,Ingeniería/Diseño,1,No,Media,9
C187,Diseño,57.9,Ingeniería/Diseño,7,No,Media,9
C188,Construcción,48.8,Cliente,3,No,Media,14
C189,Construcción,95.0,Normativo/Entidad,19,Sí,Media,16
C190,Construcción,28.6,Cliente,8,Sí,Media,19
C191,Construcción,9.7,Cliente,2,Sí,Media,12
C192,Construcción,76.4,Cliente,5,No,Baja,8
C193,Construcción,94.2,Normativo/Entidad,1,No,Media,18
C194,Diseño,6.6,Cliente,20,Sí,Media,20
C195,Construcción,60.7,Ingeniería/Diseño,11,No,Baja,9
C196,Diseño,33.2,Ingeniería/Diseño,10,No,Media,10
C197,Construcción,77.9,Ingeniería/Diseño,6,Sí,Media,14
C198,Cierre,3.0,Ingeniería/Diseño,12,No,Media,12
C199,Diseño,67.0,Cliente,4,Sí,Media,19
C200,Construcción,54.9,Ingeniería/Diseño,2,No,Media,18
C201,Construcción,55.0,Cliente,8,No,Baja,7
C202,Construcción,9.1,Cliente,10,No,Baja,2
C203,Diseño,22.8,Construcción/Obra,2,Sí,Media,11
C204,Construcción,57.0,Construcción/Obra,15,Sí,Media,19
C205,Construcción,65.7,Construcción/Obra,4,No,Baja,18
C206,Construcción,82.5,Cliente,9,No,Media,9
C207,Construcción,53.2,Cliente,8,No,Baja,10
C208,Diseño,72.2,Normativo/Entidad,9,No,Alta,10
C209,Cierre,96.2,Cliente,5,No,Media,24
C210,Diseño,59.3,Normativo/Entidad,7,No,Baja,14
C211,Diseño,40.1,Cliente,17,No,Media,18
C212,Diseño,89.2,Cliente,12,No,Media,10
C213,Diseño,23.4,Normativo/Entidad,9,No,Baja,1
C214,Construcción,13.3,Cliente,4,Sí,Media,12
C215,Cierre,58.2,Ingeniería/Diseño,4,No,Alta,20
C216,Cierre,29.3,Cliente,3,Sí,Media,15
C217,Construcción,34.6,Cliente,6,No,Media,11
C218,Diseño,92.5,Construcción/Obra,1,No,Baja,7
C219,Construcción,51.9,Normativo/Entidad,14,No,Baja,9
C220,Construcción,94.9,Normativo/Entidad,8,No,Media,17
C221,Construcción,69.4,Cliente,12,No,Media,13
C222,Construcción,53.3,Cliente,1,No,Alta,15
C223,Cierre,69.8,Ingeniería/Diseño,6,No,Baja,5
C224,Construcción,12.7,Ingeniería/Diseño,16,Sí,Media,11
C225,Cierre,59.9,Normativo/Entidad,5,No,Media,14
C226,Diseño,27.3,Ingeniería/Diseño,8,No,Media,10
C227,Construcción,32.3,Ingeniería/Diseño,5,No,Media,8
C228,Diseño,58.0,Ingeniería/Diseño,5,No,Baja,0
C229,Construcción,62.0,Cliente,2,No,Baja,8
C230,Cierre,66.5,Cliente,13,No,Media,21
C231,Construcción,53.2,Ingeniería/Diseño,17,No,Alta,19
C232,Construcción,39.7,Ingeniería/Diseño,13,No,Media,14
C233,Cierre,73.2,Normativo/Entidad,18,Sí,Media,26
C234,Cierre,30.5,Cliente,5,Sí,Media,17
C235,Cierre,0.3,Cliente,8,No,Media,5
C236,Construcción,29.7,Cliente,1,No,Media,7
C237,Diseño,39.0,Normativo/Entidad,17,Sí,Media,14
C238,Construcción,86.9,Cliente,10,No,Media,8
C239,Diseño,64.6,Normativo/Entidad,2,Sí,Baja,8
C240,Construcción,79.6,Construcción/Obra,7,Sí,Media,11
C241,Construcción,40.0,Ingeniería/Diseño,11,No,Alta,16
C242,Diseño,56.4,Ingeniería/Diseño,2,No,Media,11
C243,Diseño,66.0,Ingeniería/Diseño,1,No,Baja,6
C244,Diseño,48.7,Cliente,3,Sí,Baja,5
C245,Diseño,47.1,Normativo/Entidad,2,No,Baja,8
C246,Construcción,51.9,Construcción/Obra,5,Sí,Baja,18
C247,Diseño,15.6,Ingeniería/Diseño,18,Sí,Baja,10
C248,Diseño,18.4,Cliente,16,Sí,Media,7
C249,Construcción,17.5,Construcción/Obra,9,No,Baja,7
C250,Diseño,71.5,Cliente,1,No,Baja,5
C251,Diseño,45.2,Construcción/Obra,1,No,Baja,3
C252,Construcción,84.2,Ingeniería/Diseño,3,Sí,Media,22
C253,Construcción,28.0,Cliente,14,No,Media,13
C254,Construcción,46.0,Ingeniería/Diseño,12,No,Media,12
C255,Cierre,98.9,Ingeniería/Diseño,3,No,Media,16
C256,Construcción,89.1,Ingeniería/Diseño,11,Sí,Media,14
C257,Diseño,59.5,Normativo/Entidad,11,No,Media,11
C258,Diseño,51.8,Construcción/Obra,8,No,Baja,7
C259,Diseño,93.5,Ingeniería/Diseño,5,No,Alta,18
C260,Construcción,53.4,Construcción/Obra,7,No,Alta,14
C261,Construcción,5.8,Cliente,6,No,Baja,2
C262,Construcción,80.4,Ingeniería/Diseño,6,No,Baja,9
C263,Diseño,52.2,Cliente,10,Sí,Media,14
C264,Diseño,80.8,Ingeniería/Diseño,5,No,Alta,13
C265,Diseño,71.3,Cliente,7,No,Media,15
C266,Cierre,15.3,Ingeniería/Diseño,4,No,Alta,24
C267,Cierre,94.5,Ingeniería/Diseño,1,No,Media,17
C268,Construcción,79.9,Ingeniería/Diseño,7,Sí,Media,15
C269,Construcción,22.7,Ingeniería/Diseño,6,No,Baja,12
C270,Construcción,47.6,Ingeniería/Diseño,12,No,Alta,13
C271,Construcción,80.9,Ingeniería/Diseño,6,No,Alta,21
C272,Construcción,29.7,Cliente,17,No,Media,14
C273,Diseño,23.6,Cliente,4,Sí,Alta,13
C274,Diseño,96.7,Cliente,15,No,Media,7
C275,Construcción,82.7,Cliente,8,No,Alta,22
C276,Cierre,51.1,Cliente,18,No,Media,15
C277,Construcción,81.8,Construcción/Obra,6,Sí,Media,18
C278,Diseño,55.3,Ingeniería/Diseño,19,No,Alta,14
C279,Construcción,80.9,Ingeniería/Diseño,5,No,Media,18
C280,Construcción,21.9,Cliente,9,Sí,Baja,11
C281,Cierre,42.0,Ingeniería/Diseño,19,Sí,Baja,15
C282,Construcción,52.7,Normativo/Entidad,19,No,Baja,16
C283,Diseño,36.3,Construcción/Obra,19,No,Alta,17
C284,Construcción,4.3,Ingeniería/Diseño,7,Sí,Baja,10
C285,Diseño,16.3,Ingeniería/Diseño,10,No,Baja,5
C286,Construcción,34.4,Construcción/Obra,8,No,Media,14
C287,Construcción,53.4,Normativo/Entidad,12,No,Media,12
C288,Diseño,28.2,Ingeniería/Diseño,8,No,Alta,17
C289,Construcción,9.1,Ingeniería/Diseño,20,No,Alta,8
C290,Construcción,60.0,Ingeniería/Diseño,8,No,Alta,17
C291,Cierre,14.1,Ingeniería/Diseño,1,No,Media,12
C292,Diseño,38.0,Construcción/Obra,4,No,Alta,11
C293,Construcción,52.5,Cliente,8,Sí,Media,15
C294,Cierre,73.8,Cliente,18,No,Media,10
C295,Construcción,72.9,Ingeniería/Diseño,11,No,Media,19
C296,Diseño,85.8,Construcción/Obra,13,No,Alta,16
C297,Construcción,77.6,Ingeniería/Diseño,3,Sí,Media,16
C298,Construcción,95.5,Cliente,5,No,Media,14
C299,Cierre,34.5,Ingeniería/Diseño,12,No,Media,12
C300,Construcción,81.9,Normativo/Entidad,11,Sí,Alta,29
C301,Cierre,17.9,Ingeniería/Diseño,12,No,Alta,17
C302,Construcción,14.3,Ingeniería/Diseño,14,No,Media,10
C303,Diseño,47.7,Cliente,4,No,Media,12
C304,Cierre,67.1,Ingeniería/Diseño,9,Sí,Media,18
C305,Diseño,88.3,Ingeniería/Diseño,9,No,Alta,17
C306,Construcción,48.7,Construcción/Obra,18,No,Baja,8
C307,Construcción,90.5,Normativo/Entidad,1,No,Alta,16
C308,Cierre,37.8,Cliente,10,No,Baja,16
C309,Construcción,95.8,Ingeniería/Diseño,3,No,Baja,14
C310,Cierre,11.8,Ingeniería/Diseño,8,No,Media,13
C311,Diseño,58.5,Cliente,4,No,Media,9
C312,Construcción,72.8,Normativo/Entidad,7,No,Media,13
C313,Diseño,84.9,Ingeniería/Diseño,10,No,Alta,17
C314,Construcción,87.4,Construcción/Obra,11,No,Media,10
C315,Construcción,22.8,Normativo/Entidad,13,No,Media,9
C316,Construcción,90.0,Ingeniería/Diseño,7,No,Baja,9
C317,Diseño,81.0,Normativo/Entidad,10,No,Media,11
C318,Construcción,32.4,Cliente,3,Sí,Alta,19
C319,Diseño,79.9,Ingeniería/Diseño,2,Sí,Alta,18
C320,Construcción,39.0,Normativo/Entidad,8,No,Media,14
